	SRR10738313	SRR10738318	SRR10738253	SRR10738254
CRYBB2	295.740746391032	321.51842253736	491.160837975252	1198.2602195797
CRYBB3	12.8679867522537	4.28465509425139	5.59520398477955	152.491464325743
CRYBG1	203.969570411839	225.82191101727	1.38674851680209	1.68453811332582
CRYBG2	148.591185956659	136.684283041358	11.8750338550676	1.83461628552197
CRYBG3	188.759680029149	132.000551850181	176.67977349885	149.946783240553
CRYGA	0	0	0	8.13435609246618
CRYGB	10.1525048723736	0	0	7.84821666052095
CRYGC	0	0	4.39780329843809	106.414329686927
CRYGD	506.57678471847	126.876078273682	0	67.5435186486961
CRYGN	32.922851229554	21.9146610282479	4.65293288558463	22.8809319304338
CRYGS	4.984716145783	14.9704207747881	1193.46343043316	985.608794186045
CRYL1	36.1254627064673	28.24296852661	1321.16643327946	1227.26155636789
CRYM	839.217609015775	377.641755610598	571.371364920902	291.790630850099
CRYZ	2038.17620607009	954.870763166731	1766.32513511897	1393.64926853423
CRYZL1	932.439942359291	584.363343193104	2104.95264744554	1709.43252612477
CS	3676.99975575559	3176.43014518157	3315.81216105561	2477.45757233858
CSAD	164.805330229005	82.421197307385	403.278401016114	646.572231431717
CSAG1	0	0	4.61474792750839	4.01222359642662
CSAG2	0	0	0	8.73887071921032
CSAG3	17.0406161907666	0	21.4605096388167	0
CSDC2	21.7651742625574	15.4578824739964	868.907469397661	307.055299366927
CSDE1	21451.800832668	12551.8024037826	15528.9398401566	14228.758354686
CSE1L	10532.9979485278	7414.38068941437	3338.63028299937	1609.90344807747
CSF1	106.444266248538	94.8265724892521	330.872248717279	257.826397681008
CSF1R	0	0.354615118453469	7.67780483985785	0.791626296926847
CSF2	0	0	0	0
CSF2RA	152.915975075422	82.1068087885014	26.330161873483	38.5926051160154
CSF2RB	0	0	0	0
CSF3	0	0	0	1.42558584713362
CSF3R	0	0	0.579758050791713	4.35455610914401
CSGALNACT1	48.9336349637259	2.79443601264348	477.258471955655	130.435303829723
CSGALNACT2	129.871566397606	122.017721296584	917.465106631321	708.365554771533
CSH1	0	3.21877723701798	0	0
CSH2	0	0	0	0
CSHL1	0	0	0	0
CSK	839.158843897885	758.390246792464	1080.95177060817	645.280480444369
CSKMT	292.645783515491	269.077192440606	252.99517189407	107.647535762556
CSMD1	0.574621413177434	0.239157720389889	7.74929368958956	2.23392582266067
CSMD2	188.839695033419	214.116789189038	127.987493925307	57.2830446642024
CSMD3	0.641737823862821	0.364269502350228	121.802093916928	88.3942873897602
CSN1S1	0	0	0	9.25100542633685
CSN2	0	0	0	0
CSN3	0	0	0	0
CSNK1A1	7556.94196035728	5167.51135199244	8680.32834860392	6558.49680845227
CSNK1A1L	0	0	0.757841881819826	0
CSNK1D	1697.56488169445	1472.63319790208	1802.55102086724	1425.3858160721
CSNK1E	3470.3276457815	2609.63580463708	6032.54532082624	3239.84026253189
CSNK1G1	329.425183054669	234.049055161292	1020.91964733927	854.576407515372
CSNK1G2	2899.08889970261	2438.52068580433	1112.94472046303	668.789351237784
CSNK1G3	1437.13676799383	993.398586379428	1712.38064034337	1387.09063917658
CSNK2A1	9027.75673757998	5904.15419572329	6891.0419261084	4861.38615181635
CSNK2A2	1657.71364930009	1430.34120944978	926.877604930451	1017.36443859122
CSNK2A3	1.99359787960927	16.9632324028811	24.9770176216546	4.88707335114883
CSNK2B	8372.56799798298	6532.66401595265	9214.89557159235	6861.64311392249
CSNKA2IP	0	0	0	0
CSPG4	76.3630844957615	36.6758187976948	145.487431176991	194.771019139273
CSPG5	196.700535204267	197.995718291397	3756.01290090491	847.433489277132
CSPP1	518.295353748184	359.433982790008	931.056849093233	580.354424209251
CSRNP1	366.225745032135	173.827294977916	491.692386108473	509.343930450995
CSRNP2	539.280622201364	386.019784789497	1400.53888112067	696.839450802082
CSRNP3	80.3778701280371	44.3815415237133	2104.92362387367	880.746233916021
CSRP1	1067.07502495372	1327.1741243787	2222.04158362659	2565.66606508349
CSRP2	12438.9850825875	6419.59235165009	10430.8073268679	5957.00538199678
CSRP3	0	1.18641650997949	0	7.86085383214549
CST1	20.7283896826408	7.67972363955961	0	0
CST11	80.6054975117687	11.0965286632319	0	0
CST2	0	2.57244164140338	0	0
CST3	1446.0548118741	1034.72166425136	6876.99222697623	5542.53656972544
CST4	0	0	0	0
CST5	0	0	0	0
CST6	88.7238285897995	88.2078148273995	0	0
CST7	0	0	0	0
CST8	0	0	0	0
CST9	3.72738747759472	0	0	0
CST9L	0	0	0	0
CSTA	70.6251779327365	24.8351121570175	14.1773577924095	6.51322334148484
CSTB	4910.28553295047	3868.1033203884	4843.98349483947	3947.45483064527
CSTF1	2315.37743224775	1739.53394781621	1062.8283709879	874.620247379477
CSTF2	1038.56449838312	941.845870122296	735.966256255257	356.206747420308
CSTF2T	2062.12504664044	1101.04891891527	996.974449612296	652.350962289426
CSTF3	2422.41560221377	1365.93469728505	2636.83062811613	1872.97646702488
CSTL1	0	0	0	0
CT45A1	0	3.56531880636481	0	0
CT45A10	0	0	0	51.3952202082755
CT45A2	0	0	13.3264752752771	6.54570996630623
CT45A3	0	0	8.01155714304336	0
CT45A5	0	0	0	0
CT45A6	0	0	0	0
CT45A7	0	0	0	0
CT45A8	15.5304750883223	0	0	15.3751732136141
CT45A9	0	0	0	0
CT47A1	0	0	0	0
CT47A10	0	0	0	0
CT47A11	5.32082288776252	0	0	0
CT47A12	0	0	0	0
CT47A6	0	0	0	0
CT47A7	0	0	0	0
CT47B1	0	0	0	0
CT55	0	3.53375856894792	5.75451448342014	3.74869309932331
CT83	0	0	0	0
CTAG1A	0	0	0	0
CTAG1B	0	0	5.0204771870677	21.2838819283548
CTAG2	0	0	0	0
CTAGE1	1.70821103104672	1.2198398741133	1.20475983263737	5.20199919389141
CTAGE15	12.0591793484373	27.9149735368543	0	0
CTAGE4	60.7486592390249	84.614097453198	0	0
CTAGE6	0	0	2.62657693433938	5.27590940113468
CTAGE8	30.2204428394426	124.859074227462	0.821333291954454	3.1268689968056
CTAGE9	1.70261435315243	13.6865288624826	0	0
CTBP1	4115.85625698869	2854.87237114961	5663.07033229377	3299.52161032312
CTBP2	4649.5829634128	3765.96205595014	2291.3866689863	1059.8802740206
CTBS	89.8395787968807	36.852646460646	315.51220853112	826.00388790327
CTC1	292.086815310799	280.995755194697	344.125583089574	150.837186437275
CTCF	2152.06912590737	1687.52710853642	1403.97346228097	945.759339253942
CTCFL	65.9646318643616	10.8382597793972	2.56905544390398	3.43847091847572
CTDNEP1	921.146808297634	964.138576498922	1442.76401051336	1148.04787626477
CTDP1	841.360262168365	773.167269368198	391.863388897871	190.974756339319
CTDSP1	881.815892051261	464.69118551635	716.887894763094	582.035324824044
CTDSP2	2426.54529463907	2072.62182268178	1410.62410301257	1330.21333238744
CTDSPL	804.366527355455	453.36015694952	288.197122547258	202.667338582107
CTDSPL2	2033.87760765491	1241.48065551416	1983.59765921276	1292.03051029572
